#{"t_start": 1768911982.4930196, "env_id": "None"}
r,l,t
-39.577074,10,5326.331025
235.256007,70,5328.024494
448.746824,203,5332.875758
228.381735,367,5341.702077
213.304044,112,5344.368582
195.826397,61,5345.81077
406.509406,60,5347.207706
155.649178,107,5349.797419
125.007572,97,5352.044578
326.313514,67,5353.704481
316.95424,115,5356.496875
81.945719,52,5357.916509
141.135491,79,5359.858962
70.860892,38,5360.725314
100.455617,62,5362.321759
286.963775,81,5364.253637
211.509236,99,5366.603575
241.271877,70,5368.264238
50.030036,30,5368.992934
348.692964,108,5371.571758
195.372534,86,5373.725904
197.122233,105,5376.235148
-4.229575,21,5376.781337
440.654599,86,5378.837097
-15.982381,175,5383.104914
292.706863,110,5385.737553
140.42775,61,5387.185554
145.555461,43,5388.230644
290.387836,69,5389.910083
-57.099564,2,5389.963116
156.782549,163,5393.896691
285.698881,111,5396.623132
59.985093,60,5398.07775
293.906286,78,5399.96328
290.89062,141,5403.347821
250.982338,53,5404.648528
41.625495,18,5405.075236
205.936436,123,5407.93056
226.766908,134,5411.12715
317.263992,67,5412.769665
308.770756,173,5417.005126
-1.68615,93,5419.315413
240.510361,62,5420.817633
291.742813,60,5422.272744
236.868163,120,5425.214438
388.899105,80,5427.161803
316.09316,223,5432.48391
-19.396903,18,5432.911342
241.968482,95,5435.185727
150.93406,51,5436.431252
327.145488,86,5438.577921
